endpoint,source_index,case,layout_index,wind_direction_deg,classic_volume_rmse_mps,dense_volume_rmse_mps,dense_minus_classic_volume_rmse_mps
epoch2500_validation,230,gen_0076_wd300,76,300.0,0.020033789798617363,0.009345394559204578,-0.010688395239412785
epoch2500_validation,315,gen_0105_wd270,105,270.0,0.01543506421148777,0.010212128050625324,-0.005222936160862446
epoch2500_validation,316,gen_0105_wd285,105,285.0,0.01649136282503605,0.010434486903250217,-0.0060568759217858315
epoch2500_validation,317,gen_0105_wd300,105,300.0,0.018433403223752975,0.00989459827542305,-0.008538804948329926
epoch2500_validation,327,gen_0109_wd270,109,270.0,0.01635376177728176,0.010013517923653126,-0.006340243853628635
epoch2500_validation,328,gen_0109_wd285,109,285.0,0.013651568442583084,0.009632675908505917,-0.0040188925340771675
epoch2500_validation,329,gen_0109_wd300,109,300.0,0.015440307557582855,0.009365024045109749,-0.006075283512473106
epoch2500_validation,366,gen_0122_wd270,122,270.0,0.021905887871980667,0.009588656015694141,-0.012317231856286526
epoch2500_validation,367,gen_0122_wd285,122,285.0,0.02122773788869381,0.009763398207724094,-0.011464339680969715
epoch2500_validation,368,gen_0122_wd300,122,300.0,0.024948904290795326,0.01193237118422985,-0.013016533106565475
epoch2500_validation,387,gen_0129_wd270,129,270.0,0.022517548874020576,0.011416570283472538,-0.011100978590548038
epoch2500_validation,388,gen_0129_wd285,129,285.0,0.024475419893860817,0.009484713897109032,-0.014990705996751785
epoch2500_validation,389,gen_0129_wd300,129,300.0,0.019183862954378128,0.01141220424324274,-0.007771658711135387
epoch2500_validation,411,gen_0137_wd270,137,270.0,0.01713479869067669,0.00942382961511612,-0.00771096907556057
epoch2500_validation,412,gen_0137_wd285,137,285.0,0.01684177853167057,0.011676723137497902,-0.0051650553941726685
epoch2500_validation,413,gen_0137_wd300,137,300.0,0.01660052314400673,0.009974333457648754,-0.006626189686357975
epoch2500_validation,426,gen_0142_wd270,142,270.0,0.019909100607037544,0.010819300077855587,-0.009089800529181957
epoch2500_validation,427,gen_0142_wd285,142,285.0,0.020922649651765823,0.011196303181350231,-0.009726346470415592
epoch2500_validation,428,gen_0142_wd300,142,300.0,0.02178599312901497,0.011743440292775631,-0.010042552836239338
