endpoint,stratum,classic_cases,dense_cases,classic_layouts,dense_layouts,classic_mean_volume_rmse_mps,dense_mean_volume_rmse_mps,dense_minus_classic_volume_rmse_mps,dense_reduction_percent_volume_rmse,classic_max_volume_rmse_mps,dense_max_volume_rmse_mps
epoch2500_validation,nn_dispersion_bin=2,27,27,9,9,0.017173707761146403,0.009285478680222123,-0.00788822908092428,45.93200950333228,0.027220357209444046,0.013050626963376999
epoch2500_validation,nn_dispersion_bin=3,15,15,5,5,0.018157871502141158,0.009620112522194782,-0.008537758979946375,47.019602374318,0.04222305119037628,0.013375570997595787
epoch2500_validation,nn_dispersion_bin=4,24,24,8,8,0.018025741291542847,0.009585251255581776,-0.008440490035961071,46.824648703468874,0.024948904290795326,0.01193237118422985
epoch2500_validation,volume_quartile=1,19,19,7,7,0.02322993138314862,0.01052641964174415,-0.01270351174140447,54.685963259537694,0.04222305119037628,0.013375570997595787
epoch2500_validation,volume_quartile=2,23,23,11,11,0.01967273255729157,0.009817569314137749,-0.00985516324315382,50.095548315178355,0.05012260004878044,0.01300055906176567
epoch2500_validation,volume_quartile=3,25,25,13,13,0.01626097783446312,0.009238970372825861,-0.007022007461637258,43.18318082172763,0.023245275020599365,0.011925795115530491
epoch2500_validation,volume_quartile=4,23,23,10,10,0.017595081954546597,0.009745395580387634,-0.007849686374158962,44.61295715721626,0.027220357209444046,0.013050626963376999
best_test,M=11,3,3,1,1,0.019765141730507214,0.009488383928934732,-0.010276757801572481,51.99435421052636,0.020646164193749428,0.010052742436528206
best_test,M=12,3,3,1,1,0.01553470299889644,0.008501341256002585,-0.007033361742893856,45.27516067345152,0.016822393983602524,0.008904337882995605
best_test,M=14,3,3,1,1,0.01900499251981576,0.01045586634427309,-0.008549126175542671,44.983580849236496,0.01994321122765541,0.010996726341545582
best_test,M=16,6,6,2,2,0.016221690302093823,0.009257377125322819,-0.006964313176771004,42.932105391459004,0.0220037791877985,0.011395582929253578
